q_no,question,A,B,C,D,correct_option,explanation
42,"In relational algebra, what does Union (∪) do?",Returns tuples in first but not second,Returns tuples common to both,Returns tuples in either relation (union-compatible relations),Returns all combinations,C,Union requires union compatibility (same attributes/domains).
43,"In relational algebra, what does Set difference (-) do?",Renames attributes,Returns tuples common to both,Returns all combinations,Returns tuples in first relation but not in second (union-compatible),D,Difference removes tuples present in the second relation.
44,Which option best describes the anomaly **Dirty read**?,Two writes overwrite each other,Reading uncommitted data from another transaction,Seeing extra rows appear in repeated query,Reading same row twice and getting different values,B,Dirty read occurs when a transaction reads data written but not committed by another.
45,Which option best describes the anomaly **Non-repeatable read**?,Reading uncommitted data,Reading the same row twice and getting different values,Two writes conflict,Seeing new rows appear matching a predicate,B,Another transaction commits an update between the two reads.
46,Which option best describes the anomaly **Phantom read**?,Reading same row twice different,Seeing new/deleted rows appear in repeated predicate query,Lost update,Reading uncommitted data,B,Phantoms arise due to inserts/deletes that change the result set of a predicate.
47,Which option best describes the anomaly **Lost update**?,Update that violates a constraint,Reading uncommitted data,Seeing extra rows,Two transactions update same item; one update overwrites the other,D,Lost update happens when concurrent updates are not properly isolated.
48,Which statement is TRUE about the isolation level READ UNCOMMITTED?,Prevents dirty reads,Prevents phantoms,Allows dirty reads,Prevents non-repeatable reads,C,READ UNCOMMITTED is the weakest isolation; dirty reads can occur.
49,Which statement is TRUE about the isolation level READ COMMITTED?,Guarantees serializability,Prevents dirty reads but allows non-repeatable reads,Allows dirty reads,Prevents phantoms,B,READ COMMITTED blocks dirty reads but updates between reads can occur.
50,Which statement is TRUE about the isolation level REPEATABLE READ?,Allows dirty reads,Prevents all anomalies,Is weaker than READ COMMITTED,Prevents non-repeatable reads but may allow phantom reads,D,Repeatable read ensures same row reads consistent; phantoms may still appear.
51,Which statement is TRUE about the isolation level SERIALIZABLE?,Only prevents lost updates,Allows phantoms,Only prevents dirty reads,"Prevents dirty, non-repeatable, and phantom reads",D,SERIALIZABLE provides the strongest isolation equivalent to serial execution.
52,Which statement is correct about B+ tree?,Keys stored only in internal nodes,Unbalanced tree,Not suitable for range queries,All actual data pointers are stored at leaf level; leaves are linked,D,B+ tree keeps data pointers in leaves and links leaves for efficient range scans.
53,Which statement is correct about B-tree?,Keys and data pointers may appear in both internal and leaf nodes,Works only with hashing,Always unbalanced,All keys only in leaves,A,"In B-trees, records/pointers can be stored in internal nodes as well."
54,Which statement is correct about Hash index?,Optimized for equality search; poor for range queries,Always keeps data sorted,Requires full table scan,Best for range queries,A,"Hashing maps keys to buckets; great for '=' lookups, weak for ranges."
55,Which statement is correct about Clustered index?,Is always a secondary index,Determines the physical order of rows on disk (typically one per table),Can exist unlimited times per table,"Stores only pointers, never affects row order",B,Clustered index defines row order; many DBMS allow one clustered index.
56,Which statement is correct about Dense index?,Has an index entry for every search-key value (often every record),Cannot be used for secondary indexes,Has entries only for some blocks,Requires sorted file only,A,Dense index contains an entry for each record/key value.
57,Which statement is correct about Sparse index?,"Has index entries for only some search-key values (e.g., one per block)",Has entries for every record,Works only on unsorted files,Requires hashing,A,Sparse indexes are smaller but require ordered data file.
58,Relation R has 5 tuples and relation S has 9 tuples. How many tuples will R × S have?,14,45,56,44,B,"Cartesian product pairs each tuple of R with each tuple of S, so tuples = 5 × 9 = 45."
59,Relation R has degree 3 and relation S has degree 2. What is the degree of R × S?,6,1,3,5,D,Degree of Cartesian product = degree(R) + degree(S) = 3 + 2 = 5.
60,Relation R has 9 tuples and relation S has 4 tuples. How many tuples will R × S have?,36,33,47,13,A,"Cartesian product pairs each tuple of R with each tuple of S, so tuples = 9 × 4 = 36."
61,Relation R has degree 2 and relation S has degree 8. What is the degree of R × S?,8,10,11,6,B,Degree of Cartesian product = degree(R) + degree(S) = 2 + 8 = 10.
62,Relation R has 25 tuples and relation S has 30 tuples. How many tuples will R × S have?,742,750,55,766,B,"Cartesian product pairs each tuple of R with each tuple of S, so tuples = 25 × 30 = 750."
63,Relation R has degree 6 and relation S has degree 6. What is the degree of R × S?,0,6,13,12,D,Degree of Cartesian product = degree(R) + degree(S) = 6 + 6 = 12.
64,Relation R has 13 tuples and relation S has 15 tuples. How many tuples will R × S have?,28,191,197,195,D,"Cartesian product pairs each tuple of R with each tuple of S, so tuples = 13 × 15 = 195."
65,Relation R has degree 5 and relation S has degree 5. What is the degree of R × S?,11,0,5,10,D,Degree of Cartesian product = degree(R) + degree(S) = 5 + 5 = 10.
66,Relation R has 8 tuples and relation S has 19 tuples. How many tuples will R × S have?,27,152,166,146,B,"Cartesian product pairs each tuple of R with each tuple of S, so tuples = 8 × 19 = 152."
67,Relation R has degree 5 and relation S has degree 3. What is the degree of R × S?,5,9,2,8,D,Degree of Cartesian product = degree(R) + degree(S) = 5 + 3 = 8.
68,Relation R has 3 tuples and relation S has 22 tuples. How many tuples will R × S have?,25,67,66,63,C,"Cartesian product pairs each tuple of R with each tuple of S, so tuples = 3 × 22 = 66."
69,Relation R has degree 6 and relation S has degree 8. What is the degree of R × S?,8,14,2,15,B,Degree of Cartesian product = degree(R) + degree(S) = 6 + 8 = 14.
70,Relation R has 29 tuples and relation S has 14 tuples. How many tuples will R × S have?,406,405,43,419,A,"Cartesian product pairs each tuple of R with each tuple of S, so tuples = 29 × 14 = 406."
71,Relation R has degree 2 and relation S has degree 3. What is the degree of R × S?,5,3,6,1,A,Degree of Cartesian product = degree(R) + degree(S) = 2 + 3 = 5.
72,Relation R has 6 tuples and relation S has 8 tuples. How many tuples will R × S have?,14,29,50,48,D,"Cartesian product pairs each tuple of R with each tuple of S, so tuples = 6 × 8 = 48."
73,Relation R has degree 4 and relation S has degree 3. What is the degree of R × S?,8,1,4,7,D,Degree of Cartesian product = degree(R) + degree(S) = 4 + 3 = 7.
74,Relation R has 18 tuples and relation S has 29 tuples. How many tuples will R × S have?,524,505,47,522,D,"Cartesian product pairs each tuple of R with each tuple of S, so tuples = 18 × 29 = 522."
75,Relation R has degree 6 and relation S has degree 3. What is the degree of R × S?,10,3,6,9,D,Degree of Cartesian product = degree(R) + degree(S) = 6 + 3 = 9.
76,Relation R has 14 tuples and relation S has 5 tuples. How many tuples will R × S have?,19,89,50,70,D,"Cartesian product pairs each tuple of R with each tuple of S, so tuples = 14 × 5 = 70."
77,Relation R has degree 6 and relation S has degree 3. What is the degree of R × S?,9,10,6,3,A,Degree of Cartesian product = degree(R) + degree(S) = 6 + 3 = 9.
78,Relation R has 10 tuples and relation S has 8 tuples. How many tuples will R × S have?,18,80,91,72,B,"Cartesian product pairs each tuple of R with each tuple of S, so tuples = 10 × 8 = 80."
79,Relation R has degree 7 and relation S has degree 7. What is the degree of R × S?,14,15,0,7,A,Degree of Cartesian product = degree(R) + degree(S) = 7 + 7 = 14.
80,Relation R has 26 tuples and relation S has 4 tuples. How many tuples will R × S have?,85,30,124,104,D,"Cartesian product pairs each tuple of R with each tuple of S, so tuples = 26 × 4 = 104."
81,Relation R has degree 2 and relation S has degree 5. What is the degree of R × S?,8,5,7,3,C,Degree of Cartesian product = degree(R) + degree(S) = 2 + 5 = 7.
82,Relation R has 30 tuples and relation S has 4 tuples. How many tuples will R × S have?,120,130,114,34,A,"Cartesian product pairs each tuple of R with each tuple of S, so tuples = 30 × 4 = 120."
83,Relation R has degree 3 and relation S has degree 4. What is the degree of R × S?,4,1,8,7,D,Degree of Cartesian product = degree(R) + degree(S) = 3 + 4 = 7.
84,Relation R has 23 tuples and relation S has 5 tuples. How many tuples will R × S have?,115,119,28,111,A,"Cartesian product pairs each tuple of R with each tuple of S, so tuples = 23 × 5 = 115."
85,Relation R has degree 3 and relation S has degree 4. What is the degree of R × S?,7,4,8,1,A,Degree of Cartesian product = degree(R) + degree(S) = 3 + 4 = 7.
86,Relation R has 8 tuples and relation S has 23 tuples. How many tuples will R × S have?,193,184,167,31,B,"Cartesian product pairs each tuple of R with each tuple of S, so tuples = 8 × 23 = 184."
87,Relation R has degree 7 and relation S has degree 8. What is the degree of R × S?,16,1,8,15,D,Degree of Cartesian product = degree(R) + degree(S) = 7 + 8 = 15.
88,Relation R has 28 tuples and relation S has 10 tuples. How many tuples will R × S have?,38,291,280,275,C,"Cartesian product pairs each tuple of R with each tuple of S, so tuples = 28 × 10 = 280."
89,Relation R has degree 2 and relation S has degree 2. What is the degree of R × S?,2,4,5,0,B,Degree of Cartesian product = degree(R) + degree(S) = 2 + 2 = 4.
90,Relation R has 5 tuples and relation S has 4 tuples. How many tuples will R × S have?,9,20,38,18,B,"Cartesian product pairs each tuple of R with each tuple of S, so tuples = 5 × 4 = 20."
91,Relation R has degree 7 and relation S has degree 3. What is the degree of R × S?,11,7,10,4,C,Degree of Cartesian product = degree(R) + degree(S) = 7 + 3 = 10.
92,Relation R has 11 tuples and relation S has 13 tuples. How many tuples will R × S have?,131,143,24,145,B,"Cartesian product pairs each tuple of R with each tuple of S, so tuples = 11 × 13 = 143."
93,Relation R has degree 8 and relation S has degree 8. What is the degree of R × S?,17,8,0,16,D,Degree of Cartesian product = degree(R) + degree(S) = 8 + 8 = 16.
94,Relation R has 21 tuples and relation S has 25 tuples. How many tuples will R × S have?,46,531,525,519,C,"Cartesian product pairs each tuple of R with each tuple of S, so tuples = 21 × 25 = 525."
95,Relation R has degree 3 and relation S has degree 3. What is the degree of R × S?,7,6,0,3,B,Degree of Cartesian product = degree(R) + degree(S) = 3 + 3 = 6.
96,Relation R has 10 tuples and relation S has 7 tuples. How many tuples will R × S have?,57,17,74,70,D,"Cartesian product pairs each tuple of R with each tuple of S, so tuples = 10 × 7 = 70."
97,Relation R has degree 8 and relation S has degree 7. What is the degree of R × S?,15,8,16,1,A,Degree of Cartesian product = degree(R) + degree(S) = 8 + 7 = 15.
98,Which clause is logically evaluated first in a SELECT query?,SELECT,ORDER BY,FROM,WHERE,C,SQL logically starts by forming the source row set using FROM (and JOIN).
99,Which clause filters groups after GROUP BY?,WHERE,ORDER BY,FROM,HAVING,D,HAVING applies conditions on groups after aggregation.
100,Which clause filters individual rows before grouping?,WHERE,ORDER BY,HAVING,SELECT,A,WHERE filters rows before GROUP BY forms groups.
101,What is the main purpose of the SQL constraint PRIMARY KEY?,Only improves query speed,Allows multiple NULLs and duplicates,Allows duplicates,Enforces uniqueness and disallows NULL,D,Primary key uniquely identifies each row and cannot be NULL.
102,What is the main purpose of the SQL constraint UNIQUE?,Enforces uniqueness of column values (NULL handling is DBMS-specific),Disallows duplicates and NULL always,Allows duplicates,Enforces referential integrity,A,UNIQUE prevents duplicate non-NULL values; some DBMS allow a NULL (or multiple).
103,What is the main purpose of the SQL constraint FOREIGN KEY?,Ensures row uniqueness,Ensures attribute is atomic,Ensures sorted order,Ensures referenced value exists in parent table,D,Foreign keys enforce referential integrity.
104,What is the main purpose of the SQL constraint CHECK?,Restricts column values based on a condition,Starts a transaction,Grants permissions,Creates an index,A,"CHECK enforces domain-like predicates (e.g., salary > 0)."
105,What is the main purpose of the SQL constraint NOT NULL?,Disallows updates,Disallows duplicates,Disallows inserts,Disallows NULL values in a column,D,NOT NULL ensures every row has a value for the column.
106,"In TCL, what does COMMIT do?",Makes all changes of the current transaction permanent,Undoes changes,Grants privileges,Creates a savepoint,A,COMMIT ends the transaction and makes its changes durable.
107,"In TCL, what does ROLLBACK do?",Makes changes permanent,Undoes changes made in the current transaction since last COMMIT,Optimizes query,Adds a column,B,ROLLBACK restores the database to the last committed state (or savepoint).
108,"In TCL, what does SAVEPOINT do?",Deletes a table,Marks a point within a transaction to roll back to,Ends a transaction,Creates a view,B,SAVEPOINT allows partial rollback inside a transaction.
109,Which statement best describes the DBMS feature 'Data abstraction'?,Prevents normalization,Creates redundancy,Hides storage details and shows only necessary views,Disables security,C,DBMS provides levels of abstraction (external/conceptual/internal).
110,Which statement best describes the DBMS feature 'Data security'?,Stores data in plaintext,Eliminates transactions,Duplicates data across files,Restricts unauthorized access using authorization mechanisms,D,DBMS supports GRANT/REVOKE and roles/privileges.
111,Which statement best describes the DBMS feature 'Concurrency control'?,Eliminates indexes,Allows safe simultaneous access by multiple users,Forces serial execution always,Removes need for transactions,B,Locking/MVCC prevent anomalies under concurrent access.
112,Which statement best describes the DBMS feature 'Backup and recovery'?,Restores data after crashes using logs and backups,Makes queries slower by design,Prevents schema changes,Avoids using disk,A,Recovery manager uses logs (UNDO/REDO) and checkpoints.
113,A deadlock in DBMS occurs when:,A query uses ORDER BY,A transaction finishes too quickly,A table has no primary key,Two or more transactions wait indefinitely for each other’s locks,D,Deadlock is a cyclic wait: each transaction holds a lock and requests another lock held by a different transaction.
114,A deadlock in DBMS occurs when:,Two or more transactions wait indefinitely for each other’s locks,A transaction finishes too quickly,A query uses ORDER BY,A table has no primary key,A,Deadlock is a cyclic wait: each transaction holds a lock and requests another lock held by a different transaction.
115,A deadlock in DBMS occurs when:,Two or more transactions wait indefinitely for each other’s locks,A query uses ORDER BY,A transaction finishes too quickly,A table has no primary key,A,Deadlock is a cyclic wait: each transaction holds a lock and requests another lock held by a different transaction.
116,A deadlock in DBMS occurs when:,A table has no primary key,A query uses ORDER BY,Two or more transactions wait indefinitely for each other’s locks,A transaction finishes too quickly,C,Deadlock is a cyclic wait: each transaction holds a lock and requests another lock held by a different transaction.
117,A deadlock in DBMS occurs when:,A transaction finishes too quickly,Two or more transactions wait indefinitely for each other’s locks,A table has no primary key,A query uses ORDER BY,B,Deadlock is a cyclic wait: each transaction holds a lock and requests another lock held by a different transaction.
118,A deadlock in DBMS occurs when:,A query uses ORDER BY,Two or more transactions wait indefinitely for each other’s locks,A transaction finishes too quickly,A table has no primary key,B,Deadlock is a cyclic wait: each transaction holds a lock and requests another lock held by a different transaction.
119,A deadlock in DBMS occurs when:,A query uses ORDER BY,Two or more transactions wait indefinitely for each other’s locks,A transaction finishes too quickly,A table has no primary key,B,Deadlock is a cyclic wait: each transaction holds a lock and requests another lock held by a different transaction.
120,A deadlock in DBMS occurs when:,Two or more transactions wait indefinitely for each other’s locks,A transaction finishes too quickly,A table has no primary key,A query uses ORDER BY,A,Deadlock is a cyclic wait: each transaction holds a lock and requests another lock held by a different transaction.
121,A deadlock in DBMS occurs when:,Two or more transactions wait indefinitely for each other’s locks,A table has no primary key,A transaction finishes too quickly,A query uses ORDER BY,A,Deadlock is a cyclic wait: each transaction holds a lock and requests another lock held by a different transaction.
122,A deadlock in DBMS occurs when:,Two or more transactions wait indefinitely for each other’s locks,A query uses ORDER BY,A table has no primary key,A transaction finishes too quickly,A,Deadlock is a cyclic wait: each transaction holds a lock and requests another lock held by a different transaction.
123,What is the main purpose of the SQL constraint UNIQUE? (Choose the best answer.),Enforces uniqueness of column values (NULL handling is DBMS-specific),Disallows duplicates and NULL always,Allows duplicates,Enforces referential integrity,A,UNIQUE prevents duplicate non-NULL values; some DBMS allow a NULL (or multiple).
124,A deadlock in DBMS occurs when: (Choose the best answer.),A table has no primary key,A query uses ORDER BY,Two or more transactions wait indefinitely for each other’s locks,A transaction finishes too quickly,C,Deadlock is a cyclic wait: each transaction holds a lock and requests another lock held by a different transaction.
125,What is the main purpose of the SQL constraint UNIQUE? (Choose the best answer.),Enforces uniqueness of column values (NULL handling is DBMS-specific),Disallows duplicates and NULL always,Allows duplicates,Enforces referential integrity,A,UNIQUE prevents duplicate non-NULL values; some DBMS allow a NULL (or multiple).
126,Relation R has degree 3 and relation S has degree 3. What is the degree of R × S? (Choose the best answer.),7,6,0,3,B,Degree of Cartesian product = degree(R) + degree(S) = 3 + 3 = 6.
127,What does a LEFT OUTER JOIN do? (Choose the best answer.),Returns all rows from left table and matching rows from right table,All rows from both,All rows from right and matching left,Only matching rows,A,LEFT JOIN preserves all left rows; missing right side becomes NULL.
128,Relation R has degree 3 and relation S has degree 4. What is the degree of R × S? (Choose the best answer.),7,4,8,1,A,Degree of Cartesian product = degree(R) + degree(S) = 3 + 4 = 7.
129,"In ACID properties, what best describes **Atomicity**? (Choose the best answer.)",Isolation from other concurrent transactions,Permanence of committed data,Moving from one valid state to another,All-or-nothing execution of a transaction,D,Atomicity means either all operations happen or none (rollback).
130,"In an ER diagram, the symbol 'Double ellipse' represents: (Choose the best answer.)",Derived attribute,Multivalued attribute,Composite attribute,Weak entity,B,Multivalued attributes are shown using double ellipses.
131,Relation R has 8 tuples and relation S has 19 tuples. How many tuples will R × S have? (Choose the best answer.),27,152,166,146,B,"Cartesian product pairs each tuple of R with each tuple of S, so tuples = 8 × 19 = 152."
132,Relation R has degree 3 and relation S has degree 4. What is the degree of R × S? (Choose the best answer.),7,4,8,1,A,Degree of Cartesian product = degree(R) + degree(S) = 3 + 4 = 7.
133,Relation R has 30 tuples and relation S has 4 tuples. How many tuples will R × S have? (Choose the best answer.),120,130,114,34,A,"Cartesian product pairs each tuple of R with each tuple of S, so tuples = 30 × 4 = 120."
134,Relation R has 26 tuples and relation S has 4 tuples. How many tuples will R × S have? (Choose the best answer.),85,30,124,104,D,"Cartesian product pairs each tuple of R with each tuple of S, so tuples = 26 × 4 = 104."
135,"In relational algebra, what does Set difference (-) do? (Choose the best answer.)",Renames attributes,Returns tuples common to both,Returns all combinations,Returns tuples in first relation but not in second (union-compatible),D,Difference removes tuples present in the second relation.
136,"In ACID properties, what best describes **Consistency**? (Choose the best answer.)",Committed changes survive failures,Independent execution of transactions,All-or-nothing execution,A transaction preserves database constraints,D,Consistency means constraints/invariants remain satisfied.
137,What is the main purpose of the SQL constraint NOT NULL? (Choose the best answer.),Disallows updates,Disallows duplicates,Disallows inserts,Disallows NULL values in a column,D,NOT NULL ensures every row has a value for the column.
138,Relation R has degree 8 and relation S has degree 7. What is the degree of R × S? (Choose the best answer.),15,8,16,1,A,Degree of Cartesian product = degree(R) + degree(S) = 8 + 7 = 15.
139,Which option best defines a **Foreign key**? (Choose the best answer.),Chosen candidate key,Attribute(s) in one table referencing a key in another table,A multivalued attribute,Minimal super key,B,Foreign keys enforce referential integrity between tables.
140,Relation R has degree 7 and relation S has degree 8. What is the degree of R × S? (Choose the best answer.),16,1,8,15,D,Degree of Cartesian product = degree(R) + degree(S) = 7 + 8 = 15.
141,"In relational algebra, what does Projection (π) do? (Choose the best answer.)",Sorts tuples,Selects rows only,Adds new tuples,Selects columns and removes duplicate tuples,D,Projection returns specified attributes; in relational algebra duplicates are removed.
142,Which option best defines a **Primary key**? (Choose the best answer.),A key used only for sorting,Any super key,A chosen candidate key that is UNIQUE and NOT NULL,A key that may contain NULL,C,Primary key is selected from candidate keys and cannot be NULL.
143,What is the main purpose of the SQL constraint CHECK? (Choose the best answer.),Restricts column values based on a condition,Starts a transaction,Grants permissions,Creates an index,A,"CHECK enforces domain-like predicates (e.g., salary > 0)."
144,What does a SELF JOIN do? (Choose the best answer.),Join between unrelated databases,Join that requires three tables,A table is joined with itself using aliases,Join that returns only NULLs,C,"SELF JOIN uses aliases to relate rows within the same table (e.g., employee-manager)."
145,Which statement best characterizes 4NF? (Choose the best answer.),Eliminates repeating groups,Eliminates partial dependency,Eliminates transitive dependency,Eliminates multivalued dependency,D,4NF deals with multivalued dependencies (MVDs).
146,"In SQL, the command 'TRUNCATE' belongs to which category? (Choose the best answer.)",DML,DCL,DDL,TCL,C,TRUNCATE removes all rows via a DDL-style operation in most DBMS.
147,"In SQL, the command 'UPDATE' belongs to which category? (Choose the best answer.)",DDL,TCL,DCL,DML,D,"UPDATE modifies rows, so it is DML."
148,Which option best defines a **Composite key**? (Choose the best answer.),A key made of two or more attributes,A key derived from another key,A key used for encryption,A key that allows NULL,A,Composite keys combine multiple attributes to uniquely identify a tuple.
149,Relation R has degree 2 and relation S has degree 8. What is the degree of R × S? (Choose the best answer.),8,10,11,6,B,Degree of Cartesian product = degree(R) + degree(S) = 2 + 8 = 10.
150,Relation R has degree 7 and relation S has degree 7. What is the degree of R × S? (Choose the best answer.),14,15,0,7,A,Degree of Cartesian product = degree(R) + degree(S) = 7 + 7 = 14.
151,Which statement best describes the DBMS feature 'Data abstraction'? (Choose the best answer.),Prevents normalization,Creates redundancy,Hides storage details and shows only necessary views,Disables security,C,DBMS provides levels of abstraction (external/conceptual/internal).
152,Which clause filters groups after GROUP BY? (Choose the best answer.),WHERE,ORDER BY,FROM,HAVING,D,HAVING applies conditions on groups after aggregation.
153,"In SQL, the command 'COMMIT' belongs to which category? (Choose the best answer.)",DML,DCL,TCL,DDL,C,"COMMIT ends a transaction and makes changes permanent, so it is TCL."
154,Relation R has degree 3 and relation S has degree 2. What is the degree of R × S? (Choose the best answer.),6,1,3,5,D,Degree of Cartesian product = degree(R) + degree(S) = 3 + 2 = 5.
155,Which statement is correct about Hash index? (Choose the best answer.),Optimized for equality search; poor for range queries,Always keeps data sorted,Requires full table scan,Best for range queries,A,"Hashing maps keys to buckets; great for '=' lookups, weak for ranges."
156,A deadlock in DBMS occurs when: (Choose the best answer.),Two or more transactions wait indefinitely for each other’s locks,A transaction finishes too quickly,A query uses ORDER BY,A table has no primary key,A,Deadlock is a cyclic wait: each transaction holds a lock and requests another lock held by a different transaction.
157,Relation R has degree 2 and relation S has degree 5. What is the degree of R × S? (Choose the best answer.),8,5,7,3,C,Degree of Cartesian product = degree(R) + degree(S) = 2 + 5 = 7.
