q_no,question,option_A,option_B,option_C,option_D,correct_option
59,Context switching is handled by?,Scheduler,Dispatcher,Compiler,Shell,B
60,Short-term scheduler is also called,Dispatcher,CPU Scheduler,Swapper,Job Scheduler,B
61,"In a system with 2 processes and 1 resource, deadlock occurs if?",Wait,Cycle exists,Never (1 resource),Hold and wait,C
62,Context switching is handled by,Compiler,Dispatcher,Scheduler,Shell,B
63,Waiting time equals,Response - Arrival,Turnaround Time - Burst Time,Burst + I/O,Completion - Arrival,B
64,Which is NOT a necessary condition for deadlock?,Circular Wait,Preemption,Mutual Exclusion,Hold and Wait,B
65,File control block (FCB) contains,Page table,File attributes,Process state,CPU registers,B
66,The first process in Linux is?,root,sched,init / systemd,swapper,C
67,System calls provide interface between,User and hardware,Process and OS,CPU and Memory,User and monitor,B
68,File control block (FCB) contains,File attributes,CPU registers,Page table,Process state,A
69,Demand paging brings page into memory,Never,Randomly,At start,Only when needed,D
70,Swap space resides on?,ROM,Cache,RAM,Disk,D
71,Long-term scheduler controls,Context switch,CPU usage,Degree of multiprogramming,I/O speed,C
72,Command to list files?,show,list,dir,ls,D
73,"In a system with 2 processes and 1 resource, deadlock occurs if",Wait,Never (1 resource),Cycle exists,Hold and wait,B
74,Which program runs at all times on the computer?,Editor,Loader,Compiler,Kernel,D
75,Root directory is found at?,Fixed location on disk,Start of file,In RAM,Random location,A
76,Which is a shell?,Bash,Kernel,GCC,Gnome,A
77,A thread shares with other threads of same process:,Program Counter,Stack and Registers,Stack only,"Code section, data section, OS resources",D
78,"In a system with 8 processes and 1 resource, deadlock occurs if?",Wait,Cycle exists,Hold and wait,Never (1 resource),D
79,Command to list files,show,ls,dir,list,B
80,A safe state implies?,Starvation,Deadlock,No deadlock,Crash,C
81,Effective Access Time (EAT) depends on?,Printer speed,Monitor size,Page fault rate,Disk size,C
82,Which directory structure allows sharing?,Tree,Two Level,Single Level,Acyclic Graph Directory,D
83,"In a system with 8 processes and 1 resource, deadlock occurs if?",Cycle exists,Wait,Never (1 resource),Hold and wait,C
84,Short-term scheduler is also called,CPU Scheduler,Job Scheduler,Swapper,Dispatcher,A
85,Page fault occurs when,I/O complete,Page is not in memory,Page is in memory,Process terminates,B
86,Logical address is generated by?,MMU,Disk,Memory,CPU,D
87,Semaphore 'wait' operation,Increments value,Decrements value,Sets to 1,Sets to 0,B
88,Waiting time equals,Response - Arrival,Turnaround Time - Burst Time,Burst + I/O,Completion - Arrival,B
89,"In a system with 2 processes and 1 resource, deadlock occurs if?",Wait,Cycle exists,Never (1 resource),Hold and wait,C
90,Semaphore 'signal' operation?,Increments value,Sets to 0,Checks value,Decrements value,A
91,Context switching is handled by?,Shell,Compiler,Scheduler,Dispatcher,D
92,The first process in Linux is,root,init / systemd,swapper,sched,B
93,Command to list files,ls,dir,show,list,A
94,Page size is usually a power of?,2,10,3,5,A
95,SSTF algorithm selects request,Random,Furthest away,First in queue,Closest to current head position,D
96,Which solves external fragmentation?,Slicing,Paging,Compaction,Segmentation,C
97,Demand paging brings page into memory?,At start,Only when needed,Never,Randomly,B
98,Working Set Model is used to prevent,Deadlock,Thrashing,Fragmentation,Starvation,B
99,"In a system with 2 processes and 1 resource, deadlock occurs if?",Never (1 resource),Cycle exists,Wait,Hold and wait,A
100,Command to list files,dir,ls,list,show,B
101,Bootstrap program is stored in,Cache,ROM,Hard Disk,RAM,B
102,System calls provide interface between,User and hardware,User and monitor,CPU and Memory,Process and OS,D
103,Mode bit 0 usually indicates,Kernel Mode,Safe Mode,User Mode,Sleep Mode,A
104,Bootstrap program is stored in,RAM,ROM,Hard Disk,Cache,B
105,Fragmentation inside a partition is called?,Compaction,Internal Fragmentation,External Fragmentation,Swapping,B
106,Which solves external fragmentation?,Segmentation,Paging,Compaction,Slicing,C
107,Time to move disk arm to cylinder is,Seek Time,Rotational Latency,Access Time,Transfer Time,A
108,Which solves external fragmentation?,Slicing,Compaction,Segmentation,Paging,B
109,MMU maps?,Logical to Physical address,Page to Frame,Frame to Page,Physical to Logical,A
110,"In a system with 2 processes and 1 resource, deadlock occurs if",Hold and wait,Wait,Cycle exists,Never (1 resource),D
111,Bootstrap program is stored in,Hard Disk,RAM,ROM,Cache,C
112,Which solves external fragmentation?,Paging,Slicing,Segmentation,Compaction,D
113,System calls provide interface between,User and monitor,User and hardware,CPU and Memory,Process and OS,D
114,"In a system with 4 processes and 1 resource, deadlock occurs if",Never (1 resource),Wait,Hold and wait,Cycle exists,A
115,Resource Allocation Graph with a cycle implies deadlock if,Single instance per resource type,Multiple instances,Always,No resources,A
116,SSTF algorithm selects request,Random,Furthest away,First in queue,Closest to current head position,D
117,MMU maps,Logical to Physical address,Physical to Logical,Frame to Page,Page to Frame,A
118,Context switching is handled by,Dispatcher,Compiler,Shell,Scheduler,A
119,Semaphore 'wait' operation,Sets to 1,Decrements value,Increments value,Sets to 0,B
120,Deadlock prevention ensures?,All conditions hold,Detection,At least one condition doesn't hold,Safe state,C
121,Deadlock prevention ensures,Safe state,All conditions hold,Detection,At least one condition doesn't hold,D
122,Root directory is found at?,Random location,Start of file,In RAM,Fixed location on disk,D
123,Working Set Model is used to prevent?,Starvation,Deadlock,Fragmentation,Thrashing,D
124,Which program runs at all times on the computer?,Loader,Compiler,Kernel,Editor,C
125,MMU maps,Page to Frame,Logical to Physical address,Frame to Page,Physical to Logical,B
126,System calls provide interface between,Process and OS,User and monitor,User and hardware,CPU and Memory,A
127,Which is NOT an operating system?,Linux,Android,Oracle,Windows,C
128,Which program runs at all times on the computer?,Compiler,Loader,Editor,Kernel,D
129,Root directory is found at,Fixed location on disk,Random location,Start of file,In RAM,A
130,Root directory is found at,Start of file,Random location,Fixed location on disk,In RAM,C
131,Turnaround time equals,Completion Time - Arrival Time,Burst - Waiting,Waiting + Burst,Exit - Entry,A
132,Critical Section is code where,No resources accessed,Private resources are accessed,I/O occurs,Shared resources are accessed,D
133,Fragmentation inside a partition is called,Swapping,External Fragmentation,Internal Fragmentation,Compaction,C
134,Waiting time equals,Burst + I/O,Completion - Arrival,Turnaround Time - Burst Time,Response - Arrival,C
135,Which directory structure allows sharing?,Single Level,Tree,Two Level,Acyclic Graph Directory,D
136,Which is NOT a necessary condition for deadlock?,Preemption,Circular Wait,Mutual Exclusion,Hold and Wait,A
137,Mode bit 0 usually indicates?,Sleep Mode,Safe Mode,Kernel Mode,User Mode,C
138,Page fault occurs when?,Page is not in memory,Process terminates,Page is in memory,I/O complete,A
139,The first process in Linux is,swapper,sched,root,init / systemd,D
140,PCB stands for,Program Control Block,Process Communication Block,Program Counter Block,Process Control Block,D
141,Logical address is generated by,Memory,CPU,MMU,Disk,B
142,System calls provide interface between,User and monitor,CPU and Memory,User and hardware,Process and OS,D
143,Demand paging brings page into memory?,Never,Randomly,Only when needed,At start,C
144,Effective Access Time (EAT) depends on,Disk size,Page fault rate,Monitor size,Printer speed,B
145,Page fault occurs when?,Process terminates,I/O complete,Page is not in memory,Page is in memory,C
146,User-level threads are managed by,Kernel,Thread library,Hardware,CPU,B
147,MMU maps?,Page to Frame,Frame to Page,Physical to Logical,Logical to Physical address,D
148,Round Robin is suitable for,Real-Time Systems,Batch Systems,Time Sharing Systems,Single User,C
149,SSTF algorithm selects request,Furthest away,First in queue,Random,Closest to current head position,D
150,Root directory is found at,Fixed location on disk,Random location,In RAM,Start of file,A
151,Waiting time equals,Turnaround Time - Burst Time,Completion - Arrival,Response - Arrival,Burst + I/O,A
152,Which program runs at all times on the computer?,Compiler,Kernel,Loader,Editor,B
153,Waiting time equals,Turnaround Time - Burst Time,Burst + I/O,Completion - Arrival,Response - Arrival,A
154,A safe state implies?,No deadlock,Crash,Starvation,Deadlock,A
155,Command to list files,dir,list,ls,show,C
156,PCB stands for?,Program Counter Block,Process Control Block,Process Communication Block,Program Control Block,B
157,PCB stands for,Program Control Block,Program Counter Block,Process Control Block,Process Communication Block,C
158,"In a system with 8 processes and 1 resource, deadlock occurs if",Hold and wait,Never (1 resource),Cycle exists,Wait,B
159,Effective Access Time (EAT) depends on,Printer speed,Page fault rate,Monitor size,Disk size,B
160,"In a system with 4 processes and 1 resource, deadlock occurs if",Cycle exists,Wait,Never (1 resource),Hold and wait,C
161,Waiting time equals?,Turnaround Time - Burst Time,Response - Arrival,Burst + I/O,Completion - Arrival,A
162,Round Robin is suitable for,Single User,Real-Time Systems,Time Sharing Systems,Batch Systems,C
163,The first process in Linux is?,swapper,sched,init / systemd,root,C
164,The first process in Linux is?,swapper,sched,root,init / systemd,D
165,Root directory is found at,Fixed location on disk,In RAM,Start of file,Random location,A
166,Context switching is handled by,Compiler,Dispatcher,Shell,Scheduler,B
167,Semaphore 'wait' operation,Sets to 1,Sets to 0,Decrements value,Increments value,C
168,Semaphore 'signal' operation,Decrements value,Increments value,Sets to 0,Checks value,B
169,Which is a shell?,GCC,Kernel,Bash,Gnome,C
170,Time for sector to rotate under head is,Response Time,Transfer Time,Seek Time,Rotational Latency,D
171,PCB stands for?,Process Control Block,Program Control Block,Process Communication Block,Program Counter Block,A
172,Context switching is handled by,Compiler,Scheduler,Dispatcher,Shell,C
173,Waiting time equals,Turnaround Time - Burst Time,Response - Arrival,Completion - Arrival,Burst + I/O,A
174,Which program runs at all times on the computer?,Editor,Loader,Kernel,Compiler,C
175,Short-term scheduler is also called?,Dispatcher,Job Scheduler,CPU Scheduler,Swapper,C
176,Command to list files,list,dir,ls,show,C
177,Effective Access Time (EAT) depends on,Printer speed,Disk size,Page fault rate,Monitor size,C
178,Context switching is handled by?,Scheduler,Shell,Compiler,Dispatcher,D
179,Command to list files,list,dir,show,ls,D
180,Spinlock causes?,Context switch,Sleep,Busy waiting,Deadlock,C
181,Which is NOT an operating system?,Windows,Oracle,Android,Linux,B
182,The first process in Linux is,swapper,init / systemd,root,sched,B
183,"In a system with 8 processes and 1 resource, deadlock occurs if?",Never (1 resource),Hold and wait,Cycle exists,Wait,A
184,Critical Section is code where,I/O occurs,Shared resources are accessed,Private resources are accessed,No resources accessed,B
185,Which program runs at all times on the computer?,Compiler,Loader,Editor,Kernel,D
186,Mode bit 0 usually indicates,Safe Mode,Sleep Mode,User Mode,Kernel Mode,D
187,A safe state implies,No deadlock,Deadlock,Starvation,Crash,A
188,A safe state implies,No deadlock,Deadlock,Crash,Starvation,A
189,File control block (FCB) contains?,CPU registers,Page table,File attributes,Process state,C
190,SSTF algorithm selects request,Closest to current head position,Furthest away,Random,First in queue,A
191,PCB stands for?,Program Control Block,Program Counter Block,Process Communication Block,Process Control Block,D
192,Dining Philosophers problem illustrates,Memory issues,Synchronization issues,Paging,Scheduling,B
193,Semaphore 'signal' operation,Increments value,Decrements value,Sets to 0,Checks value,A
194,Logical address is generated by?,Disk,Memory,CPU,MMU,C
195,Long-term scheduler controls,Degree of multiprogramming,CPU usage,I/O speed,Context switch,A
196,Which directory structure allows sharing?,Single Level,Acyclic Graph Directory,Two Level,Tree,B
197,"In a system with 4 processes and 1 resource, deadlock occurs if",Wait,Cycle exists,Never (1 resource),Hold and wait,C
198,Which is NOT a necessary condition for deadlock?,Mutual Exclusion,Circular Wait,Hold and Wait,Preemption,D
199,Swap space resides on,RAM,Cache,ROM,Disk,D
200,Waiting time equals,Response - Arrival,Turnaround Time - Burst Time,Completion - Arrival,Burst + I/O,B
201,Swap space resides on,ROM,RAM,Cache,Disk,D
202,"In a system with 2 processes and 1 resource, deadlock occurs if",Never (1 resource),Cycle exists,Wait,Hold and wait,A
203,"In Unix, 'fork()' system call creates?",Child process,Thread,Pipe,File,A
204,Deadlock prevention ensures,All conditions hold,Detection,At least one condition doesn't hold,Safe state,C
205,The first process in Linux is?,root,swapper,sched,init / systemd,D
206,File control block (FCB) contains?,File attributes,Process state,Page table,CPU registers,A
207,MMU maps?,Physical to Logical,Logical to Physical address,Page to Frame,Frame to Page,B
208,Long-term scheduler controls?,I/O speed,Context switch,Degree of multiprogramming,CPU usage,C
209,Short-term scheduler is also called?,Dispatcher,Job Scheduler,CPU Scheduler,Swapper,C
210,"In Unix, 'fork()' system call creates",File,Child process,Thread,Pipe,B
211,A safe state implies,Starvation,Deadlock,No deadlock,Crash,C
212,Semaphore 'wait' operation,Sets to 0,Sets to 1,Increments value,Decrements value,D
213,"In a system with 4 processes and 1 resource, deadlock occurs if",Wait,Hold and wait,Cycle exists,Never (1 resource),D
214,"In a system with 8 processes and 1 resource, deadlock occurs if",Hold and wait,Never (1 resource),Cycle exists,Wait,B
215,Effective Access Time (EAT) depends on,Disk size,Printer speed,Monitor size,Page fault rate,D
216,SSTF algorithm selects request,Closest to current head position,Furthest away,First in queue,Random,A
217,"In Unix, 'fork()' system call creates?",File,Pipe,Thread,Child process,D
218,Effective Access Time (EAT) depends on,Disk size,Page fault rate,Monitor size,Printer speed,B
219,"In a system with 2 processes and 1 resource, deadlock occurs if",Hold and wait,Cycle exists,Wait,Never (1 resource),D
220,Spinlock causes?,Deadlock,Sleep,Context switch,Busy waiting,D
221,Demand paging brings page into memory,Never,Only when needed,Randomly,At start,B
222,PCB stands for,Program Control Block,Process Communication Block,Program Counter Block,Process Control Block,D
223,Long-term scheduler controls?,I/O speed,CPU usage,Degree of multiprogramming,Context switch,C
224,Spinlock causes?,Sleep,Busy waiting,Deadlock,Context switch,B
225,Root directory is found at,Start of file,Fixed location on disk,Random location,In RAM,B
226,Which directory structure allows sharing?,Single Level,Acyclic Graph Directory,Tree,Two Level,B
227,Resource Allocation Graph with a cycle implies deadlock if,No resources,Multiple instances,Single instance per resource type,Always,C
228,Which directory structure allows sharing?,Acyclic Graph Directory,Single Level,Two Level,Tree,A
229,Page size is usually a power of,5,10,3,2,D
230,Spinlock causes,Sleep,Busy waiting,Deadlock,Context switch,B
